Printing Modifier Definitions:
Tag: ai_require_cb_for_war, Categories: Country, , All, 
Tag: ai_opinion_bias, Categories: Country, , All, 
Tag: can_recruit_explorer, Categories: Country, , All, 
Tag: can_invite_settlers, Categories: Country, , All, 
Tag: allow_rgo_slave_demand, Categories: Country, , All, 
Tag: allow_mysticism_vs_jurisprudence, Categories: Country, , All, 
Tag: shared_border_impact, Categories: Country, , All, 
Tag: army_logistics_distance, Categories: Unit, , All, 
Tag: army_logistics_distance_modifier, Categories: Unit, , All, 
Tag: army_artillery_power, Categories: Unit, , All, 
Tag: army_auxiliary_power, Categories: Unit, , All, 
Tag: army_light_cavalry_power, Categories: Unit, , All, 
Tag: army_heavy_cavalry_power, Categories: Unit, , All, 
Tag: army_light_infantry_power, Categories: Unit, , All, 
Tag: army_heavy_infantry_power, Categories: Unit, , All, 
Tag: navy_galley_power, Categories: Unit, , All, 
Tag: navy_heavy_ship_power, Categories: Unit, , All, 
Tag: navy_light_ship_power, Categories: Unit, , All, 
Tag: navy_transport_power, Categories: Unit, , All, 
Tag: scaled_lost_war_cost_modifier, Categories: Country, , All, 
Tag: call_jihad_cost_modifier, Categories: Country, , All, 
Tag: national_church_power_cost_modifier, Categories: Country, , All, 
Tag: hussite_wars_actions_price_cost_modifier, Categories: Country, , All, 
Tag: join_sect_cost_modifier, Categories: Country, , All, 
Tag: disfavor_sect_cost_modifier, Categories: Country, , All, 
Tag: stop_disfavoring_sect_cost_modifier, Categories: Country, , All, 
Tag: promote_sect_cost_modifier, Categories: Country, , All, 
Tag: stop_promoting_sect_cost_modifier, Categories: Country, , All, 
Tag: leave_sect_cost_modifier, Categories: Country, , All, 
Tag: perform_tantric_ritual_cost_modifier, Categories: Country, , All, 
Tag: organize_spiritual_retreat_cost_modifier, Categories: Country, , All, 
Tag: commission_religious_images_cost_modifier, Categories: Country, , All, 
Tag: join_branch_cost_modifier, Categories: Country, , All, 
Tag: activate_avatar_cost_modifier, Categories: Country, , All, 
Tag: deactivate_avatar_cost_modifier, Categories: Country, , All, 
Tag: reroll_avatar_cost_modifier, Categories: Country, , All, 
Tag: perform_yoga_cost_modifier, Categories: Country, , All, 
Tag: indulge_in_feasts_cost_modifier, Categories: Country, , All, 
Tag: discard_worldly_possessions_cost_modifier, Categories: Country, , All, 
Tag: indulge_in_bloodbath_cost_modifier, Categories: Country, , All, 
Tag: favor_god_cost_modifier, Categories: Country, , All, 
Tag: nanbokuchou_change_sides_cost_modifier, Categories: Country, , All, 
Tag: nanbokuchou_declare_neutrality_cost_modifier, Categories: Country, , All, 
Tag: sengoku_attempt_imperial_restoration_cost_modifier, Categories: Country, , All, 
Tag: sengoku_force_end_war_cost_modifier, Categories: Country, , All, 
Tag: sengoku_revoke_clans_land_cost_modifier, Categories: Country, , All, 
Tag: sengoku_limit_clans_autonomy_cost_modifier, Categories: Country, , All, 
Tag: sengoku_summon_to_court_cost_modifier, Categories: Country, , All, 
Tag: sengoku_proclaim_clan_independence_cost_modifier, Categories: Country, , All, 
Tag: sengoku_increment_recruitment_cost_modifier, Categories: Country, , All, 
Tag: sengoku_offer_hostage_cost_modifier, Categories: Country, , All, 
Tag: sengoku_ask_for_hostage_cost_modifier, Categories: Country, , All, 
Tag: sengoku_prove_heritage_cost_modifier, Categories: Country, , All, 
Tag: grant_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: revoke_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: claim_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: join_autocephalous_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: create_autocephalous_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: third_rome_cost_modifier, Categories: Country, , All, 
Tag: relocate_ecumenical_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: cleansing_ritual_purity_cost_modifier, Categories: Country, , All, 
Tag: cleansing_ritual_yanantin_cost_modifier, Categories: Country, , All, 
Tag: get_claim_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: get_marriage_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: become_shogun_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: appease_nobles_estate_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_levies_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_tax_income_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: demand_extra_payment_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_peasant_satisfaction_from_ikko_ikki_cost_modifier, Categories: Country, , All, 
Tag: reduce_rebels_from_ikko_ikki_cost_modifier, Categories: Country, , All, 
Tag: allow_safe_refuge_cost_modifier, Categories: Country, , All, 
Tag: crackdown_their_strongholds_cost_modifier, Categories: Country, , All, 
Tag: increase_literacy_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: increase_clergy_satisfaction_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: favor_buddhist_schools_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: favor_kami_worship_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: keep_kami_and_buddha_balanced_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: baptize_ruler_from_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: hold_public_kirishitan_mass_cost_modifier, Categories: Country, , All, 
Tag: establish_treaty_with_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: limit_movement_of_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: pilgrimage_action_cost_modifier, Categories: Country, , All, 
Tag: nahuatl_religious_actions_price_cost_modifier, Categories: Country, , All, 
Tag: inti_ceremonial_festivals_cost_modifier, Categories: Country, , All, 
Tag: mayan_ceremonial_festivals_cost_modifier, Categories: Country, , All, 
Tag: sacrifice_noble_blood_cost_modifier, Categories: Country, , All, 
Tag: change_main_school_cost_modifier, Categories: Country, , All, 
Tag: sell_icon_cost_modifier, Categories: Country, , All, 
Tag: religious_offering_cost_modifier, Categories: Country, , All, 
Tag: migrate_pop_based_country_cost_modifier, Categories: Country, , All, 
Tag: add_location_to_international_organization_cost_modifier, Categories: Country, , All, 
Tag: remove_location_from_international_organization_cost_modifier, Categories: Country, , All, 
Tag: army_losses_in_war_cost_modifier, Categories: Country, , All, 
Tag: enemy_army_losses_in_war_cost_modifier, Categories: Country, , All, 
Tag: losses_to_disease_cost_modifier, Categories: Country, , All, 
Tag: damage_done_versus_heathens_modifier, Categories: Unit, , All, 
Tag: damage_done_versus_heretics_modifier, Categories: Unit, , All, 
Tag: cardinal_price_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_build_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_build_cost_modifier, Categories: Country, , All, 
Tag: build_gravel_road_cost_modifier, Categories: Country, , All, 
Tag: build_paved_road_cost_modifier, Categories: Country, , All, 
Tag: build_modern_road_cost_modifier, Categories: Country, , All, 
Tag: build_railroad_cost_modifier, Categories: Country, , All, 
Tag: hire_mercenary_leader_cost_modifier, Categories: Country, , All, 
Tag: hire_mercenary_premium_cost_modifier, Categories: Country, , All, 
Tag: bribe_units_cost_modifier, Categories: Country, , All, 
Tag: hire_prisoners_cost_modifier, Categories: Country, , All, 
Tag: ransom_units_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_colonial_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_tributary_cost_modifier, Categories: Country, , All, 
Tag: negotiate_rebels_buy_off_price_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_cavalry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_cavalry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_light_cavalry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_light_cavalry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: revoke_privilege_cost_modifier, Categories: Country, , All, 
Tag: local_nobles_desired_pop_scaled, Categories: Location, , All, 
Tag: local_nobles_desired_pop, Categories: Location, , All, 
Tag: global_nobles_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_desired_pop, Categories: Country, , All, 
Tag: global_nobles_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_city_desired_pop, Categories: Country, , All, 
Tag: global_nobles_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_rural_desired_pop, Categories: Country, , All, 
Tag: global_nobles_migration_allowed, Categories: Country, , All, 
Tag: local_nobles_migration_allowed, Categories: Location, , All, 
Tag: local_nobles_max_literacy, Categories: Location, , All, 
Tag: global_nobles_max_literacy, Categories: Country, , All, 
Tag: local_clergy_desired_pop_scaled, Categories: Location, , All, 
Tag: local_clergy_desired_pop, Categories: Location, , All, 
Tag: global_clergy_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_desired_pop, Categories: Country, , All, 
Tag: global_clergy_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_city_desired_pop, Categories: Country, , All, 
Tag: global_clergy_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_rural_desired_pop, Categories: Country, , All, 
Tag: global_clergy_migration_allowed, Categories: Country, , All, 
Tag: local_clergy_migration_allowed, Categories: Location, , All, 
Tag: local_clergy_max_literacy, Categories: Location, , All, 
Tag: global_clergy_max_literacy, Categories: Country, , All, 
Tag: local_burghers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_burghers_desired_pop, Categories: Location, , All, 
Tag: global_burghers_desired_pop_scaled, Categories: Country, , All, 
